type,gid,geom_o,geom_err,ident,nom,etat,nbplaces,nbvelos,nbelec,nbclassiq,insee,cdate,mdate,longitude,latitude
VLS,1,0,,1,Meriadeck,CONNECTEE,14,18,12,6,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5843699,44.8380299
VLS,2,0,,2,St Bruno,CONNECTEE,16,4,3,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.59028,44.8378399
VLS,3,0,,3,Piscine Judaique,CONNECTEE,14,12,8,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.593233,44.8408129
VLS,4,0,,4,St Seurin,CONNECTEE,6,12,10,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5848199,44.8422099
VLS,5,0,,5,Place Gambetta,DECONNECTEE,26,12,8,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.581124,44.8407119
VLS,6,0,,6,Square Andre Lhote,CONNECTEE,9,21,15,6,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5816599,44.8377899
VLS,7,0,,7,Palais de Justice,CONNECTEE,6,12,7,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.58211,44.8359399
VLS,9,0,,10,Stade Chaban Delmas,CONNECTEE,8,14,2,12,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5986799,44.8317599
VLS,10,0,,11,Cite Administrative,CONNECTEE,13,16,12,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5997,44.8416599
VLS,11,0,,12,Grand Lebrun ,CONNECTEE,8,7,2,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6086099,44.8511499
VLS,12,0,,13,Barriere St Medard,DECONNECTEE,20,0,0,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5981,44.8483699
VLS,13,0,,14,Dubreuil Turenne,CONNECTEE,26,4,2,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.59197,44.8481899
VLS,14,0,,15,Rue de la Croix Blanche,MAINTENANCE,14,0,0,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.59206,44.8452099
VLS,15,0,,16,Galin,CONNECTEE,16,13,5,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5452499,44.8494699
VLS,16,0,,17,Palais Gallien,CONNECTEE,7,7,5,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5821899,44.8468999
VLS,17,0,,18,Huguerie,CONNECTEE,8,6,3,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.58164,44.8442299
VLS,18,0,,19,Place Tourny,CONNECTEE,6,24,16,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5774499,44.8446499
VLS,19,0,,20,Grands Hommes,CONNECTEE,27,4,2,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57724,44.8431399
VLS,20,0,,21,Puy Paulin,CONNECTEE,13,2,1,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5755999,44.8412199
VLS,21,0,,22,Hotel de Ville,CONNECTEE,16,17,12,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57648,44.8382599
VLS,22,0,,23,Republique,CONNECTEE,33,7,3,4,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5801899,44.8348299
VLS,23,0,,24,Liberation,CONNECTEE,7,9,2,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.58308,44.8332499
VLS,24,0,,25,Francois de Sourdis,CONNECTEE,12,1,1,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5873399,44.8309999
VLS,25,0,,26,Xaintrailles,CONNECTEE,12,4,1,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5934899,44.8279699
VLS,26,0,,27,Bordeaux II,CONNECTEE,5,15,3,12,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.60184,44.8265399
VLS,27,0,,28,Hopital Pellegrin,CONNECTEE,12,20,13,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6035099,44.8298599
VLS,28,0,,29,St Augustin,CONNECTEE,10,10,3,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.60997,44.8327359
VLS,29,0,,30,Place Mondesir,CONNECTEE,10,6,4,2,33281,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.6168899,44.8383799
VLS+,30,0,,31,Cauderan,CONNECTEE,6,10,8,2,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.61438,44.8517499
VLS,31,0,,32,Parc Bordelais,CONNECTEE,12,3,2,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5992299,44.8526099
VLS,32,0,,33,Barriere du Medoc,CONNECTEE,18,2,1,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5931279,44.8540919
VLS,33,0,,34,Tivoli,MAINTENANCE,13,0,0,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.58864,44.8537899
VLS,34,0,,35,Croix de Seguey,CONNECTEE,6,12,5,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.58547,44.8500499
VLS,35,0,,36,Place de Longchamps,CONNECTEE,9,7,0,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5819999,44.8500499
VLS,36,0,,37,Jardin Public,CONNECTEE,9,21,10,11,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57581,44.8484899
VLS,37,0,,38,Fondaudege Museum,CONNECTEE,3,13,7,6,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5801999,44.8464099
VLS,38,0,,39,Quinconces,CONNECTEE,18,20,13,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57434,44.8442299
VLS,39,0,,40,Grand Theatre,CONNECTEE,7,13,8,5,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5739,44.8429299
VLS,40,0,,41,Place St Projet,CONNECTEE,14,3,3,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5746599,44.8388899
VLS,41,0,,42,Camille Jullian,CONNECTEE,5,11,4,7,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5720299,44.8392399
VLS,42,0,,43,St Paul,CONNECTEE,9,8,5,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57279,44.8370699
VLS,43,0,,44,Musee d'Aquitaine,CONNECTEE,17,2,2,0,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57544,44.8360599
VLS,44,0,,45,Place Ste Eulalie,CONNECTEE,15,5,2,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.57695,44.8331199
VLS,45,0,,46,Belcier Tram,CONNECTEE,7,14,6,8,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5529299,44.8228029
VLS,46,0,,47,Magendie,CONNECTEE,14,1,0,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5860499,44.8278899
VLS,47,0,,48,Barriere de Pessac,CONNECTEE,12,4,1,3,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.58975,44.8257799
VLS,48,0,,49,Emile Zola,CONNECTEE,9,8,2,6,33069,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5999499,44.8632899
VLS,49,0,,50,Mandron Godard,CONNECTEE,4,10,9,1,33063,2011-01-01T00:00:00+01:00,2023-07-24T13:10:00+02:00,-0.5887599,44.8599899
